controller,pkg_controller,pkg_domain,pkg_repository,repository,architecture,pkg_infrastructure,service,repo_name,pkg_service,configuration,pkg_usecase,pkg_application,component,total_java_files
1,1,,1,0,clean,,1,Employee-Management-System-with-Spring-Boot,2,0,,2,0,10
4,2,,2,1,clean,,4,employee-payroll-app,6,1,,1,2,25
2,3,,,1,clean,,2,employee-state-machine,3,1,,2,5,43
2,1,,1,1,clean,,1,EmployeeManagement,2,1,,2,0,12
4,4,,1,0,clean,,1,EmployeeManagementApplication,3,1,,14,0,14
1,1,,1,0,clean,,3,Energy-Monitoring-System,2,1,,3,0,10
2,,14,8,2,clean,,0,entregaCleanArchitecture,,1,3,3,0,25
5,5,7,12,0,clean,,0,estudo-gerenciador-usuario,,4,12,18,5,58
2,1,,2,0,clean,,1,event-api,,1,9,2,3,27
2,2,,2,0,clean,,0,event-api-clean-architecture,,1,7,2,1,24
3,2,,2,0,clean,,3,expense-tracker,3,1,,2,1,23
3,3,,2,2,clean,,1,expense-tracker-api,1,0,,2,0,13
14,9,,5,5,clean,,10,expensetracker,20,12,,12,9,149
3,3,,2,2,clean,,3,ExpenseTracker-API-Java,6,0,,2,0,19
3,25,2,9,0,clean,,0,facilities-helper,,1,14,2,22,67
3,2,5,2,2,clean,,2,Facilities-Management-JavaSpringBoot-BackEnd,2,1,2,2,0,14
0,,18,,0,clean,2,0,fc3-catalog-admin,,0,5,5,0,25
2,1,,,0,clean,,2,File-Similarity-Analyzer,4,2,,3,1,14
0,,10,1,3,clean,35,2,fluxifyuserverse,3,14,4,3,5,48
3,1,23,3,2,clean,,1,food-delivery-system,15,3,,11,4,38
3,2,,1,1,clean,,3,Food-Delivery-System-Springboot,3,1,,2,0,16
0,,50,3,0,clean,,3,food-order-system,40,0,,21,4,54
0,,21,,0,clean,,0,Food-Ordering-Backend-System,10,0,,1,1,23
5,2,148,37,12,clean,26,7,food-ordering-system,211,21,,85,65,258
3,1,58,3,0,clean,16,1,food-system-example-ms,31,1,,8,8,82
5,4,,6,6,clean,,6,Football_Stats_API_v2,6,1,,1,0,51
7,6,,6,0,clean,,5,forum-rest-api,27,1,,2,19,91
4,6,16,10,3,clean,20,3,franchise-management-api,6,3,3,11,4,47
1,,17,12,6,clean,36,0,franchises-proyect,4,8,7,4,4,57
17,17,,3,0,clean,,18,fullstack-projects,79,2,,,1,79
8,8,,7,0,clean,,7,FullStackBlogApp,7,2,,2,2,40
2,2,,2,0,clean,,2,game-list-api,2,1,,2,0,18
2,1,,2,2,clean,,1,gerenciador-de-pessoas,1,0,,2,0,17
3,5,1,10,2,clean,,1,github-database-api,,6,17,1,4,75
3,3,,6,4,clean,,3,Good-Reads-Advanced,3,0,,2,0,17
1,2,,1,0,clean,,0,graph-ql-fundamentals,,0,,1,1,12
1,1,,1,1,clean,,1,graphql-crud-surge,1,0,,2,0,7
2,2,4,4,2,clean,,0,habitTracker,,1,5,2,4,25
7,6,16,5,5,clean,,7,HBookStore,12,4,,2,7,69
1,2,3,4,0,clean,6,1,hex-spring-modular,2,0,,2,2,15
1,2,11,2,0,clean,,4,hexagon-transmon,4,2,2,4,5,43
1,1,4,1,1,clean,,1,hexagonal-architecture,1,1,1,6,1,16
1,1,6,1,1,clean,3,0,hexagonal-architecture-clean-arch,,1,2,2,2,14
1,1,1,3,1,clean,,1,hexagonal-architecture-clientes-api,1,0,4,8,0,13
2,3,7,4,1,clean,13,1,hexagonal-architecture-demo,3,0,1,11,4,31
2,1,1,1,2,clean,,1,hexagonal-architecture-pizza,14,0,,5,0,14
4,3,1,6,3,clean,,5,Hibernate-M1,10,4,28,31,38,130
4,4,24,12,4,clean,14,2,homeowners-association-demo,4,4,19,38,4,99
13,12,,12,11,clean,,13,hospital-management-app,24,2,,3,1,134
3,6,,3,3,clean,,3,Hotel-Management-System-Spring-Boot,9,0,,1,0,26
1,1,,1,1,clean,7,3,house-of-chaos-main,3,2,,2,2,24
11,10,,9,9,clean,,17,hr-management-system,48,2,,2,5,183
1,1,2,2,1,clean,,1,hrm,8,1,,3,0,8
1,1,,1,1,clean,,0,huongdanjava-clean-architecture-spring-boot-archetype,,1,3,1,0,12
0,,4,5,0,clean,,0,IntegradorMascotas,,0,19,2,0,32
4,8,42,8,5,clean,17,24,IS2,8,3,17,47,3,118
2,3,5,3,1,clean,9,1,java-boot-template,1,2,2,1,5,29
2,7,3,3,0,clean,,0,java-clean,19,1,2,2,2,19
1,1,4,3,0,clean,,0,java-clean-arch,,1,5,11,0,21
4,7,,1,1,clean,,0,java-clean-arch-example,,3,10,10,2,34
1,1,11,2,0,clean,,1,java-clean-architecture,,0,3,2,1,22
3,,15,13,3,clean,,0,java-clean-architecture-example,2,2,7,4,0,33
1,1,,1,0,clean,,1,Java-human-resources-app,2,0,,2,0,8
5,14,4,6,3,clean,39,0,java-service-template-clean-architecture,77,13,,2,11,77
1,1,4,1,0,clean,,2,java-spring-boot,3,1,,14,2,20
1,,4,9,0,clean,9,1,java-spring-clean-ddd-template,4,5,4,10,4,49
0,,1,1,0,clean,,0,java-spring-simple-blog,,0,,2,0,4
1,2,3,1,0,clean,,0,java-spring3-microservice,17,1,1,5,1,17
1,2,3,1,0,clean,,0,java-spring3-microservice-mongo,17,1,1,5,1,17
0,,,,0,clean,,0,java-springboot-clean-arch,,0,,2,0,2
3,7,2,,0,clean,,0,java-springboot-reactive-hexagonal-monomodule-template,18,2,,2,0,18
0,,,,0,clean,,0,java10x,,0,,,0,10
1,2,5,2,2,clean,,0,javaspring-clean-architect,1,2,7,2,0,59
4,4,,3,2,clean,,3,Java_Full_Stack_Project,3,2,,3,2,30
8,10,,9,0,clean,,2,JC-Student-API-Legacy,11,1,,2,1,47
6,6,,2,0,clean,,6,Job-App-Microservices,40,0,,23,0,40
3,3,,3,0,clean,,3,Job-Application-Management-System,6,0,,18,0,18
6,7,13,4,0,clean,15,11,job-management,,2,10,13,2,44
1,1,,3,0,clean,,0,job-portal-spring-boot-mongo,,0,,2,1,7
2,2,4,2,0,clean,,2,JobApp-clean-architecture,,0,2,4,0,13
7,6,,5,0,clean,,8,journal-spring-boot,13,5,,2,5,44
5,5,,5,0,clean,,7,journalApp,13,3,,2,4,39
0,,15,4,2,clean,8,0,judo-pills-backend,2,3,10,2,4,25
1,1,3,1,1,clean,,2,KafkaCleanArchitecture,3,0,1,2,0,12
0,,,,0,clean,,0,lab-java-clean-architecture-spring-boot-kafka,,0,,2,0,2
1,3,,2,1,clean,,1,layered-architecture-template,3,1,,2,0,17
4,6,,3,3,clean,,3,library-management-spring-boot,6,1,,2,1,26
4,3,,3,0,clean,,3,library-management-system,7,0,,1,0,25
1,3,6,2,0,clean,,1,libro,,3,2,1,5,26
1,2,16,1,1,clean,,7,limitchecker-spring-boot,17,0,6,23,5,45
2,2,5,2,0,clean,,2,limpiar,1,1,,20,5,28
1,2,1,,0,clean,,1,localgov-backend,1,1,,2,1,20
3,2,6,1,1,clean,6,4,login-spring-security,6,2,,2,1,25
7,11,70,10,5,clean,25,1,LottoApplication,2,13,,103,4,103
2,2,,1,0,clean,,1,Love-Letter-Application-Backend,2,0,,8,0,8
14,12,,32,12,clean,,33,macbus-backoffice-spring-boot,59,11,43,1,6,303
7,11,,5,5,clean,,5,Many2Many_Spring,10,1,,1,2,49
0,,,,0,clean,,0,maven-archetype-hexagonal,,0,,2,0,2
2,2,,1,1,clean,,1,media-nest-backend,1,1,,2,0,8
2,1,,1,1,clean,,2,MediTrack,17,0,,4,0,17
1,1,3,1,0,clean,1,1,menu-system,,1,2,5,0,11
3,6,,1,1,clean,,3,microcredit-platform,27,1,,3,2,29
5,2,60,12,6,clean,26,5,Microservice-Artchitecture,128,15,,43,28,128
0,,18,9,3,clean,29,0,microservice-franchises-java-springboot,51,6,4,4,9,51
1,1,1,4,0,clean,,0,MicroserviceJavaClean,14,1,6,,4,14
12,12,6,10,6,clean,,12,Microservices,177,14,,6,27,177
5,2,129,35,11,clean,29,5,microservices-design-pattern,240,21,,78,62,240
5,6,,3,3,clean,,2,microservices-project,33,1,,6,2,33
6,6,12,7,5,clean,14,6,microservices-springboot,68,3,,34,2,68
1,1,,2,2,clean,,2,miniblog-springboot-thymeleaf,4,1,,1,0,11
1,2,,1,1,clean,,1,modern-mvc-spring-boot,2,0,,2,0,11
3,2,,2,0,clean,,2,monstershop-api,2,1,,2,0,19
3,3,6,9,3,clean,10,0,movie-rent-clean-arch,6,1,3,9,0,31
5,6,45,19,6,clean,,11,MovieManager,10,4,13,3,5,99
5,5,42,19,6,clean,,11,Movie_Manager,9,3,12,2,4,92
2,2,1,1,0,clean,3,1,mspt-microservice-demo,25,9,,4,0,25
2,1,8,,0,clean,36,3,musicweather-api-clean-architecture,2,7,4,14,0,56
11,10,,12,0,clean,,11,MyStore,23,3,,2,9,119
