architecture,pkg_repository,max_package_depth,class_service,import_data,controller,springboot_app,class_repository,import_web,pkg_domain,total_java_files,configuration,pkg_infrastructure,pkg_usecase,import_stereotype,pkg_service,has_app_config,repo_name,repository,service,import_jpa,pkg_controller,class_config,import_boot,pkg_application,component,class_controller
clean,2,12,1,4,1,1,,1,3,11,2,6,2,1,3,,crudCleanArchitectureReactive,1,0,1,,2,2,2,2,
clean,2,11,,2,0,1,1,0,18,53,2,10,20,1,,1,curso-clean-architecture-spring-boot,0,1,0,,2,3,27,3,
clean,2,9,,0,3,1,2,7,3,15,0,,,3,,1,DataParser,0,0,0,4,,5,2,0,4
clean,100,15,60,33,32,20,45,167,459,1686,31,117,14,130,111,1,ddd-examples,12,38,90,25,39,144,165,80,25
clean,4,12,,5,0,1,,0,21,41,1,,,4,1,1,ddd-spring-sample,0,0,7,3,1,4,10,5,3
clean,2,11,,3,1,1,,3,2,45,6,,8,8,,1,DescomplicandoCleanArchitectureSeptember2024,1,0,0,5,6,3,2,7,1
clean,,10,,0,2,1,,4,,15,0,1,1,2,1,1,DevSecOps,0,0,0,2,,4,1,2,
clean,4,9,,0,1,2,2,1,,21,0,,,2,,1,Distributed-SpringBoot-CleanArchitecture,0,0,0,,,6,17,2,
clean,4,11,,0,1,2,2,1,,21,0,4,,2,15,1,Distributed-SpringBoot-CleanArchitecture-modules,0,0,0,,,6,11,2,
clean,,10,,0,0,0,,0,17,17,0,,,0,6,,domain-driven-design,0,0,0,,,0,2,0,
clean,1,10,1,7,2,1,,8,,16,1,,,4,3,1,dscatalog,1,1,1,5,1,3,2,2,2
clean,,8,2,0,1,1,,9,,10,3,,,2,2,1,DynamicPDFGenerator,0,1,0,1,3,2,1,2,1
clean,,8,1,2,1,1,,3,,6,0,,,2,1,1,E-Com-Project-Backend-using-SpringBoot,1,1,0,1,,3,2,0,1
clean,46,11,20,98,18,1,15,29,90,427,12,52,92,83,27,1,E-commerce,25,47,0,25,13,47,3,11,25
clean,5,10,21,5,11,6,,31,,94,4,,,6,94,1,E-Commerce-Platform,0,6,0,11,4,18,12,0,11
clean,,8,,0,0,1,,0,,2,0,,,0,,1,ecom-springboot,0,0,0,,,3,2,0,
clean,8,11,4,17,3,1,3,4,26,47,2,3,7,11,10,1,ecommerce,3,0,0,2,2,3,8,8,2
clean,3,8,6,3,4,1,,9,,36,2,,,6,8,,ecommerce-backend,0,5,0,3,2,3,2,1,3
clean,1,9,1,5,2,1,,4,,18,0,,,1,3,1,ecommerce-java-spring,0,1,0,2,,3,2,0,2
clean,3,11,,1,2,1,1,4,2,22,1,7,5,8,,1,ecommerce-simple-spring,1,5,0,1,1,2,6,2,1
clean,4,10,5,24,5,1,,8,,51,3,,,13,10,1,ECommerceAPI,4,5,0,4,3,4,2,3,4
clean,3,8,4,3,4,1,,8,,19,1,,,9,4,1,ECommerceAPI-SpringBoot,3,4,0,4,1,3,2,2,4
clean,5,11,4,1,2,1,3,10,4,36,2,15,4,7,4,1,eleve-challenge-exchange,1,4,0,2,4,11,12,2,2
clean,,9,4,0,1,1,,4,,11,2,,1,2,11,,email-microservice-spring-boot,0,2,0,1,2,3,3,0,1
clean,,10,4,0,1,1,,1,,10,1,,1,2,10,,email-service-AWS,0,2,0,1,1,3,3,1,1
clean,1,7,1,1,1,1,,10,,10,0,,,1,2,1,Employee-Management-Backend,0,1,0,1,,3,2,0,1
clean,1,10,1,1,1,1,,1,,10,0,,,1,2,1,Employee-Management-System-Spring-Boot-Rest-API,0,1,0,1,,3,2,0,1
clean,1,9,1,1,1,1,,2,,10,0,,,1,2,1,Employee-Management-System-with-Spring-Boot,0,1,0,1,,3,2,0,1
clean,2,8,4,2,4,1,,6,,25,1,,,8,6,1,employee-payroll-app,1,4,0,2,1,2,1,2,2
clean,,10,1,16,2,1,,4,,43,1,,,8,3,1,employee-state-machine,1,2,10,3,1,3,2,5,2
clean,1,12,1,1,2,1,,3,,12,1,,,3,2,1,EmployeeManagement,1,1,0,1,1,3,2,0,1
clean,1,8,2,4,4,1,,9,,14,1,,,3,3,1,EmployeeManagementApplication,0,1,0,4,1,5,14,0,4
clean,1,9,2,1,1,1,,1,,10,1,,,1,2,1,Energy-Monitoring-System,0,3,0,1,2,6,3,0,1
clean,8,12,,2,2,1,4,6,14,25,1,,3,2,,1,entregaCleanArchitecture,2,0,5,,1,3,3,0,
clean,12,12,,4,5,1,4,6,7,58,4,,12,6,,1,estudo-gerenciador-usuario,0,0,0,5,4,3,18,5,4
clean,2,9,,1,2,1,1,3,,27,1,,9,4,,1,event-api,0,1,0,1,1,3,2,3,1
clean,2,10,,1,2,1,1,3,,24,1,,7,2,,1,event-api-clean-architecture,0,0,0,2,1,3,2,1,2
clean,2,8,3,2,3,1,,12,,23,1,,,4,3,,expense-tracker,0,3,0,2,1,3,2,1,2
clean,2,8,1,2,3,1,,11,,13,0,,,4,1,1,expense-tracker-api,2,1,0,3,,3,2,0,3
clean,5,11,11,15,14,6,,74,,149,12,,,24,20,1,expensetracker,5,10,0,9,14,20,12,9,9
clean,2,11,3,4,3,1,,6,,19,0,,,5,6,1,ExpenseTracker-API-Java,2,3,0,3,,3,2,0,3
clean,9,11,,6,3,1,,10,2,67,1,,14,22,,,facilities-helper,0,0,0,25,2,3,2,22,2
clean,2,8,2,12,3,1,,12,5,14,1,,2,4,2,1,Facilities-Management-JavaSpringBoot-BackEnd,2,2,0,2,1,3,2,0,2
clean,,12,,0,0,0,,0,18,25,0,2,5,0,,,fc3-catalog-admin,0,0,0,,,0,5,0,
clean,,9,2,0,2,1,,3,,14,2,,,3,4,1,File-Similarity-Analyzer,0,2,0,1,1,4,3,1,1
clean,1,13,,14,0,1,,6,10,48,14,35,4,8,3,,fluxifyuserverse,3,2,0,,7,8,3,5,
clean,3,18,3,3,3,1,1,12,23,38,3,,,7,15,1,food-delivery-system,2,1,0,1,2,4,11,4,1
clean,1,9,3,9,3,1,,7,,16,1,,,4,3,1,Food-Delivery-System-Springboot,1,3,0,2,1,3,2,0,1
clean,3,18,2,0,0,0,,0,50,54,0,,,7,40,,food-order-system,0,3,0,,,0,21,4,
clean,,13,,0,0,0,,0,21,23,0,,,1,10,,Food-Ordering-Backend-System,0,0,0,,,0,1,1,
clean,37,19,16,16,5,5,13,17,148,258,21,26,,84,211,1,food-ordering-system,12,7,23,2,15,23,85,65,2
clean,3,16,2,0,3,0,,9,58,82,1,16,,9,31,,food-system-example-ms,0,1,0,1,2,2,8,8,1
clean,6,8,6,15,5,1,,10,,51,1,,,12,6,1,Football_Stats_API_v2,6,6,0,4,,4,1,0,4
clean,6,11,6,61,7,1,,17,,91,1,,,26,27,1,forum-rest-api,0,5,0,6,2,4,2,19,6
clean,10,13,6,19,4,1,3,9,16,47,3,20,3,10,6,1,franchise-management-api,3,3,0,6,3,9,11,4,6
clean,12,12,,22,1,1,6,13,17,57,8,36,7,8,4,,franchises-proyect,6,0,0,,6,8,4,4,
clean,3,10,18,0,17,0,,0,,79,2,,,0,79,,fullstack-projects,0,18,0,17,2,0,,1,17
clean,7,9,7,11,8,1,,14,,40,2,,,9,7,1,FullStackBlogApp,0,7,0,8,2,3,2,2,8
clean,2,9,2,5,2,1,,7,,18,1,,,2,2,1,game-list-api,0,2,0,2,1,3,2,0,2
clean,2,10,1,4,2,1,,8,,17,0,,,3,1,1,gerenciador-de-pessoas,2,1,2,1,,3,2,0,1
clean,10,11,,8,3,1,6,20,1,75,6,,17,5,,,github-database-api,2,1,19,5,5,20,1,4,5
clean,6,9,3,3,3,1,,12,,17,0,,,7,3,1,Good-Reads-Advanced,4,3,0,3,,3,2,0,3
clean,1,8,,3,1,1,,0,,12,0,,,2,,1,graph-ql-fundamentals,0,0,0,2,,6,1,1,2
clean,1,8,1,1,1,1,,0,,7,0,,,3,1,1,graphql-crud-surge,1,1,0,1,,3,2,0,
clean,4,11,,2,2,1,,2,4,25,1,,5,6,,1,habitTracker,2,0,0,2,1,3,2,4,2
clean,5,10,7,65,7,1,,11,16,69,4,,,19,12,1,HBookStore,5,7,0,6,3,5,2,7,6
clean,4,11,2,2,1,1,2,1,3,15,0,6,,2,2,1,hex-spring-modular,0,1,0,2,1,12,2,2,2
clean,2,11,,4,1,1,,3,11,43,2,,2,5,4,1,hexagon-transmon,0,4,0,2,3,16,4,5,2
clean,1,9,1,1,1,1,,1,4,16,1,,1,3,1,1,hexagonal-architecture,1,1,1,1,1,6,6,1,1
clean,1,11,,2,1,1,,1,6,14,1,3,2,3,,1,hexagonal-architecture-clean-arch,1,0,0,1,1,4,2,2,1
clean,3,13,1,2,1,1,1,1,1,13,0,,4,2,1,1,hexagonal-architecture-clientes-api,1,1,0,1,,3,8,0,1
clean,4,13,2,1,2,1,2,11,7,31,0,13,1,6,3,1,hexagonal-architecture-demo,1,1,0,3,,7,11,4,3
clean,1,12,3,1,2,1,,8,1,14,0,,,3,14,1,hexagonal-architecture-pizza,2,1,0,1,,3,5,0,1
clean,6,12,5,6,4,1,,9,1,130,4,,28,44,10,1,Hibernate-M1,3,5,0,3,4,4,31,38,3
clean,12,13,4,4,4,1,4,11,24,99,4,14,19,10,4,1,homeowners-association-demo,4,2,0,4,4,13,38,4,4
clean,12,9,13,42,13,1,,117,,134,2,,,25,24,1,hospital-management-app,11,13,0,12,2,3,3,1,12
clean,3,9,6,3,3,1,,5,,26,0,,,6,9,1,Hotel-Management-System-Spring-Boot,3,3,0,6,,3,1,0,6
clean,1,11,3,1,1,1,,2,,24,2,7,,6,3,,house-of-chaos-main,1,3,0,1,2,3,2,2,1
clean,9,11,33,87,11,1,,14,,183,2,,,31,48,1,hr-management-system,9,17,0,10,2,4,2,5,10
clean,2,11,1,1,1,1,,4,2,8,1,,,2,8,1,hrm,1,1,0,1,1,3,3,0,1
clean,1,11,,1,1,1,,4,,12,1,,3,1,,1,huongdanjava-clean-architecture-spring-boot-archetype,1,0,0,1,1,2,1,0,1
clean,5,9,,0,0,1,,0,4,32,0,,19,0,,1,IntegradorMascotas,0,0,2,,,3,2,0,
clean,8,17,3,7,4,2,3,13,42,118,3,17,17,31,8,1,IS2,5,24,0,8,3,8,47,3,4
clean,3,10,1,10,2,1,1,10,5,29,2,9,2,3,1,1,java-boot-template,1,1,9,3,8,15,1,5,3
clean,3,11,2,1,2,1,1,3,3,19,1,,2,2,19,1,java-clean,0,0,0,7,1,3,2,2,2
clean,3,12,,1,1,1,1,8,4,21,1,,5,0,,,java-clean-arch,0,0,0,1,1,3,11,0,1
clean,1,10,,2,4,2,,13,,34,3,,10,2,,1,java-clean-arch-example,1,0,4,7,1,5,10,2,4
clean,2,10,,0,1,1,1,1,11,22,0,,3,2,,1,java-clean-architecture,0,1,0,1,,3,2,1,1
clean,13,12,2,8,3,1,3,4,15,33,2,,7,3,2,1,java-clean-architecture-example,3,0,3,,2,3,4,0,
clean,1,7,1,1,1,1,,2,,8,0,,,1,2,,Java-human-resources-app,0,1,0,1,,3,2,0,1
